n = 1, m = 0, phi[n] = 1, phi[m] = 0 0
n = 1, m = 1, phi[n] = 1, phi[m] = 1 1
n = 2, m = 0, phi[n] = 1, phi[m] = 0 0
n = 2, m = 1, phi[n] = 1, phi[m] = 1 2
n = 2, m = 2, phi[n] = 1, phi[m] = 1 2
n = 3, m = 0, phi[n] = 2, phi[m] = 0 0
n = 3, m = 1, phi[n] = 2, phi[m] = 1 2
n = 3, m = 2, phi[n] = 2, phi[m] = 1 2
n = 3, m = 3, phi[n] = 2, phi[m] = 2 2
n = 4, m = 0, phi[n] = 2, phi[m] = 0 0
n = 4, m = 1, phi[n] = 2, phi[m] = 1 2
n = 4, m = 2, phi[n] = 2, phi[m] = 1 4
n = 4, m = 3, phi[n] = 2, phi[m] = 2 4
n = 4, m = 4, phi[n] = 2, phi[m] = 2 4
n = 5, m = 0, phi[n] = 4, phi[m] = 0 0
n = 5, m = 1, phi[n] = 4, phi[m] = 1 2
n = 5, m = 2, phi[n] = 4, phi[m] = 1 4
n = 5, m = 3, phi[n] = 4, phi[m] = 2 4
n = 5, m = 4, phi[n] = 4, phi[m] = 2 4
n = 5, m = 5, phi[n] = 4, phi[m] = 4 4
n = 6, m = 0, phi[n] = 2, phi[m] = 0 0
n = 6, m = 1, phi[n] = 2, phi[m] = 1 2
n = 6, m = 2, phi[n] = 2, phi[m] = 1 4
n = 6, m = 3, phi[n] = 2, phi[m] = 2 4
n = 6, m = 4, phi[n] = 2, phi[m] = 2 4
n = 6, m = 5, phi[n] = 2, phi[m] = 4 4
n = 6, m = 6, phi[n] = 2, phi[m] = 2 4
n = 7, m = 0, phi[n] = 6, phi[m] = 0 0
n = 7, m = 1, phi[n] = 6, phi[m] = 1 2
n = 7, m = 2, phi[n] = 6, phi[m] = 1 4
n = 7, m = 3, phi[n] = 6, phi[m] = 2 4
n = 7, m = 4, phi[n] = 6, phi[m] = 2 4
n = 7, m = 5, phi[n] = 6, phi[m] = 4 4
n = 7, m = 6, phi[n] = 6, phi[m] = 2 4
n = 7, m = 7, phi[n] = 6, phi[m] = 6 4
n = 8, m = 0, phi[n] = 4, phi[m] = 0 0
n = 8, m = 1, phi[n] = 4, phi[m] = 1 2
n = 8, m = 2, phi[n] = 4, phi[m] = 1 4
n = 8, m = 3, phi[n] = 4, phi[m] = 2 4
n = 8, m = 4, phi[n] = 4, phi[m] = 2 4
n = 8, m = 5, phi[n] = 4, phi[m] = 4 4
n = 8, m = 6, phi[n] = 4, phi[m] = 2 5
n = 8, m = 7, phi[n] = 4, phi[m] = 6 5
n = 8, m = 8, phi[n] = 4, phi[m] = 4 5
n = 9, m = 0, phi[n] = 6, phi[m] = 0 0
n = 9, m = 1, phi[n] = 6, phi[m] = 1 2
n = 9, m = 2, phi[n] = 6, phi[m] = 1 4
n = 9, m = 3, phi[n] = 6, phi[m] = 2 4
n = 9, m = 4, phi[n] = 6, phi[m] = 2 4
n = 9, m = 5, phi[n] = 6, phi[m] = 4 4
n = 9, m = 6, phi[n] = 6, phi[m] = 2 6
n = 9, m = 7, phi[n] = 6, phi[m] = 6 6
n = 9, m = 8, phi[n] = 6, phi[m] = 4 6
n = 9, m = 9, phi[n] = 6, phi[m] = 6 6
n = 10, m = 0, phi[n] = 4, phi[m] = 0 0
n = 10, m = 1, phi[n] = 4, phi[m] = 1 2
n = 10, m = 2, phi[n] = 4, phi[m] = 1 4
n = 10, m = 3, phi[n] = 4, phi[m] = 2 4
n = 10, m = 4, phi[n] = 4, phi[m] = 2 4
n = 10, m = 5, phi[n] = 4, phi[m] = 4 4
n = 10, m = 6, phi[n] = 4, phi[m] = 2 6
n = 10, m = 7, phi[n] = 4, phi[m] = 6 6
n = 10, m = 8, phi[n] = 4, phi[m] = 4 6
n = 10, m = 9, phi[n] = 4, phi[m] = 6 6
n = 10, m = 10, phi[n] = 4, phi[m] = 4 6
n = 11, m = 0, phi[n] = 10, phi[m] = 0 0
n = 11, m = 1, phi[n] = 10, phi[m] = 1 2
n = 11, m = 2, phi[n] = 10, phi[m] = 1 4
n = 11, m = 3, phi[n] = 10, phi[m] = 2 4
n = 11, m = 4, phi[n] = 10, phi[m] = 2 4
